"","DOR_1","DOR_2","DOR_3","NOR_1","NOR_2","NOR_3"
"RANBP9",5214.22415177549,4387.65909086892,4715.94497252632,3073.9280034207,2438.46013261856,2003.26153551362
"ETV7",106.893066116895,132.825199521764,100.149378096122,201.369445684171,190.96374532555,476.083759983174
"SPRTN",1238.58662849209,989.104985772066,903.327558867005,645.318828262297,669.842060526545,482.266665956981
"EEF1AKNMT",5302.48448159678,6697.04655988732,6015.90373177401,9395.05539375777,6667.0829650069,7565.4037495508
"DYRK4",1273.89076042061,1288.40443536111,1026.28323098502,2230.98613776603,2331.71629548787,2990.05332893328
"ZNF207",19093.6513513389,14152.0822583788,17042.251102357,11077.1927167753,8225.15126661177,7832.50528761928
"UQCRC1",9985.18531378184,10159.3567607546,9736.30439134481,27297.2674161171,23818.5651990155,26623.5931232149
"STARD3NL",4475.7793922707,3634.09745891545,3957.38780179826,4551.88607453522,4249.18815880801,3485.92238803264
"CD9",15239.6169491426,10742.9021373202,16877.649154199,7929.27314959159,20002.2281962788,23297.1897093065
"HHATL",0,0,0,0,0,19.7852991161839
"NCAPD2",1105.21546342881,1562.90984770609,2440.27346034215,1268.1592067738,918.5845800788,651.678289639306
"IFFO1",2484.03794930361,1950.75943030964,2619.74907851441,5275.87947692528,2173.06949167895,2714.29572250147
"GIPR",34.323461597168,65.5270984307367,15.8652480152273,21.5418476778416,103.805933356453,85.3241024385429
"PHF7",171.61730798584,165.588748737132,254.835546244589,181.700802152229,240.908109487617,145.916580981856
"SEMA3G",11.7680439761719,357.742537378617,0,0,19.5860251615949,38.3340170376062
"NISCH",6980.41141853262,8217.45234374644,10061.541975657,13262.2853529668,8694.23656923197,5871.28751272756
"STAB1",1502.38694762461,4601.95041276404,872.588640837502,2402.38431711581,57781.7121304791,11688.1654528856
"FUZ",1454.33410138857,1299.03045132285,1400.10813734381,4064.85299660141,2686.22335091274,3542.80512299167
"SLC6A13",51.9755275614258,20.3665305933371,26.7726060256961,2.8098062188489,44.0685566135885,24.7316238952298
"IDS",7929.70029927715,5683.14753687119,7409.07082311115,4028.32551575637,6622.03510713523,5544.83007731052
"PRSS3",3.92268132539063,37.1910558660938,0,0,0,0
"ZNF200",224.573505878613,228.459343177433,231.037674221748,390.563064419997,342.75544032791,187.960341603747
"CD4",353.041319285156,386.964081273405,134.854608129432,394.309472711796,5084.53213195003,1203.19350250293
"LRRC23",794.342968391602,421.498633149063,724.843518695698,2053.0317439056,1680.48095886484,2260.47042402401
"BTK",50.9948572300781,85.8936290240738,24.7894500237927,54.3229202310787,765.81358381836,181.777435629939
"HFE",2058.42702549873,1498.26825060549,2607.85014250299,2184.15603411854,1199.64404114769,1142.60102395962
"SCMH1",9244.77921361436,7769.38867069303,12063.5379595785,3675.22653425436,3008.41346482097,2873.8146966257
"FYN",2704.68877385684,2536.96131086569,2080.33064599668,1906.92182052545,3429.51300579526,3870.49913960347
"HIVEP2",4258.07057871153,2946.94842672286,3734.28275158413,558.214835477981,1319.11879463341,1370.13196379573
"FMO1",23.5360879523438,270.963407024398,0,59.9425326687765,0,22.2584615057068
"ELOA",1976.05071766553,2513.93827628191,2592.97647248871,2269.38682275696,1954.68531112717,1699.06256160229
"LYPLA2",2712.53413650762,3712.02157596822,3041.16972891889,6939.28475848383,9257.33479262782,7686.58870663743
"CLCN6",9351.67227973125,5313.89348220069,9741.26228134957,5036.10934625018,4777.03153691299,4383.68033542949
"MRC2",1264.08405710713,5441.40567374158,980.670642941238,2892.22720126847,2980.01372833666,2515.20615014487
"NME1-NME2",2340.86008092686,2155.31023757315,1751.12674968071,6220.91096853146,4733.94228155748,10344.0016941799
"SLC6A7",0,0,3.96631200380683,0,3.91720503231898,51.9364101799826
"TSPAN9",1529.84571690234,2188.95928811866,1229.55672118012,1146.40093729035,1274.07093676175,1367.65880140621
"BTBD7",3114.60897236016,2348.34952754478,3279.1484491473,989.988391107762,770.710090108758,1209.37640847674
"APBA3",1023.81982592695,1360.13004310286,1102.6347370583,2999.93643965767,2203.42783067942,1838.79623661034
"MKS1",700.198616582227,786.325181168841,875.563374840357,1614.70197376517,797.151224076911,823.563075711153
